Result Value,blue,green,red,NIR,SWIR1,log(blue),log(green),log(red),log(NIR),log(SWIR1),1/log(blue),1/log(green),1/log(red),1/log(NIR),1/log(SWIR1),1/blue,1/green,1/red,1/NIR,1/SWIR1,blue/green,blue/red,blue/NIR,blue/SWIR1,green/blue,green/red,green/NIR,green/SWIR1,red/blue,red/green,red/NIR,red/SWIR1,NIR/blue,NIR/green,NIR/red,NIR/SWIR1,SWIR1/blue,SWIR1/green,SWIR1/red,SWIR1/NIR,"ND(blue,green)","ND(blue,red)","ND(blue,NIR)","ND(blue,SWIR1)","ND(green,red)","ND(green,NIR)","ND(green,SWIR1)","ND(red,NIR)","ND(red,SWIR1)","ND(NIR,SWIR1)"
88.7,0.0155174999999999,0.0641649999999999,0.0436775,0.003335,6.249999999999312e-05,-4.165786859676473,-2.746297388285714,-3.1309221836156746,-5.70328259961455,-9.680344001222029,-0.24005068758550524,-0.36412662527571976,-0.3193947154717121,-0.17533762049027413,-0.10330211404406309,64.44337038827173,15.584820384945088,22.895083280865432,299.85007496251876,16000.000000001763,0.24183745032338383,0.3552744548108271,4.652923538230855,248.28000000002572,4.135008860963449,1.4690630187167284,19.239880059969988,1026.6400000001115,2.8147253101337384,0.6807059923634391,13.096701649175413,698.840000000077,0.2149186402448862,0.051975375983791865,0.07635510274168622,53.360000000005876,0.004027710649266539,0.0009740512740589607,0.001430942705053932,0.018740629685155358,-0.6105167383051502,-0.4757158543795954,0.6462007691287609,0.9919768934531459,0.1899761225861782,0.901185185185185,0.9980537931571369,0.8581228396703006,0.9971422039323277,0.9632082413539407
25.8,0.07456,0.1255175,0.0986774999999999,0.0226949999999999,0.00922,-2.5961511086048015,-2.075310087900387,-2.315898322056172,-3.7856106430737126,-4.686380241413635,-0.3851855913492687,-0.48185570235034636,-0.4317978861490556,-0.264158175334179,-0.21338430696745012,13.412017167381974,7.967016551476886,10.13402244685973,44.06256884776402,108.45986984815617,0.5940207540781166,0.7555927136378614,3.2853051332892855,8.086767895878525,1.683442864806867,1.271997162473716,5.530623485349221,13.613611713665943,1.3234643240343336,0.7861652757583596,4.34798413747523,10.70254880694142,0.30438572961373256,0.18081144063576712,0.22999163943148054,2.4614967462038932,0.12365879828326182,0.0734558926046169,0.09343568696004671,0.4062568847763843,-0.25468880808686634,-0.13921639367919714,0.5332887769266378,0.7798997374074957,0.1197172104641054,0.6937505271147857,0.8631412932554039,0.6260273126120014,0.8290970597094462,0.42221525928246717
31.6,0.07456,0.1255175,0.0986774999999999,0.0226949999999999,0.00922,-2.5961511086048015,-2.075310087900387,-2.315898322056172,-3.7856106430737126,-4.686380241413635,-0.3851855913492687,-0.48185570235034636,-0.4317978861490556,-0.264158175334179,-0.21338430696745012,13.412017167381974,7.967016551476886,10.13402244685973,44.06256884776402,108.45986984815617,0.5940207540781166,0.7555927136378614,3.2853051332892855,8.086767895878525,1.683442864806867,1.271997162473716,5.530623485349221,13.613611713665943,1.3234643240343336,0.7861652757583596,4.34798413747523,10.70254880694142,0.30438572961373256,0.18081144063576712,0.22999163943148054,2.4614967462038932,0.12365879828326182,0.0734558926046169,0.09343568696004671,0.4062568847763843,-0.25468880808686634,-0.13921639367919714,0.5332887769266378,0.7798997374074957,0.1197172104641054,0.6937505271147857,0.8631412932554039,0.6260273126120014,0.8290970597094462,0.42221525928246717
21.0,0.1420725,0.197595,0.17939,0.0469775,0.003445,-1.9514177882937307,-1.6215357976322369,-1.7181930722711378,-3.0580865153009666,-5.670831374516515,-0.5124479268349676,-0.6166993053500255,-0.5820067698667778,-0.32700186701604267,-0.1763409867014884,7.038659839166623,5.060856803056757,5.574446736161436,21.286786227449312,290.27576197387515,0.7190085781522811,0.7919755839232956,3.024266936299292,41.24020319303338,1.3908039909201289,1.1014828028318189,4.2061625246128465,57.35703918722786,1.2626651885481004,0.9078671019003517,3.818636581342132,52.07256894049346,0.33065864259445005,0.23774640046559883,0.2618735715480239,13.63642960812772,0.02424818314592902,0.01743465168653053,0.019203969006076148,0.07333297855356288,-0.16346132614983772,-0.11608663529960728,0.5030150753768844,0.9526517429175184,0.048291046062840695,0.6158398838790133,0.9657282132908873,0.5849448352789158,0.9623157491727513,0.8633546531806239
17.7,0.1420725,0.197595,0.17939,0.0469775,0.003445,-1.9514177882937307,-1.6215357976322369,-1.7181930722711378,-3.0580865153009666,-5.670831374516515,-0.5124479268349676,-0.6166993053500255,-0.5820067698667778,-0.32700186701604267,-0.1763409867014884,7.038659839166623,5.060856803056757,5.574446736161436,21.286786227449312,290.27576197387515,0.7190085781522811,0.7919755839232956,3.024266936299292,41.24020319303338,1.3908039909201289,1.1014828028318189,4.2061625246128465,57.35703918722786,1.2626651885481004,0.9078671019003517,3.818636581342132,52.07256894049346,0.33065864259445005,0.23774640046559883,0.2618735715480239,13.63642960812772,0.02424818314592902,0.01743465168653053,0.019203969006076148,0.07333297855356288,-0.16346132614983772,-0.11608663529960728,0.5030150753768844,0.9526517429175184,0.048291046062840695,0.6158398838790133,0.9657282132908873,0.5849448352789158,0.9623157491727513,0.8633546531806239
26.1,0.1420725,0.197595,0.17939,0.0469775,0.003445,-1.9514177882937307,-1.6215357976322369,-1.7181930722711378,-3.0580865153009666,-5.670831374516515,-0.5124479268349676,-0.6166993053500255,-0.5820067698667778,-0.32700186701604267,-0.1763409867014884,7.038659839166623,5.060856803056757,5.574446736161436,21.286786227449312,290.27576197387515,0.7190085781522811,0.7919755839232956,3.024266936299292,41.24020319303338,1.3908039909201289,1.1014828028318189,4.2061625246128465,57.35703918722786,1.2626651885481004,0.9078671019003517,3.818636581342132,52.07256894049346,0.33065864259445005,0.23774640046559883,0.2618735715480239,13.63642960812772,0.02424818314592902,0.01743465168653053,0.019203969006076148,0.07333297855356288,-0.16346132614983772,-0.11608663529960728,0.5030150753768844,0.9526517429175184,0.048291046062840695,0.6158398838790133,0.9657282132908873,0.5849448352789158,0.9623157491727513,0.8633546531806239
22.1,0.1420725,0.197595,0.17939,0.0469775,0.003445,-1.9514177882937307,-1.6215357976322369,-1.7181930722711378,-3.0580865153009666,-5.670831374516515,-0.5124479268349676,-0.6166993053500255,-0.5820067698667778,-0.32700186701604267,-0.1763409867014884,7.038659839166623,5.060856803056757,5.574446736161436,21.286786227449312,290.27576197387515,0.7190085781522811,0.7919755839232956,3.024266936299292,41.24020319303338,1.3908039909201289,1.1014828028318189,4.2061625246128465,57.35703918722786,1.2626651885481004,0.9078671019003517,3.818636581342132,52.07256894049346,0.33065864259445005,0.23774640046559883,0.2618735715480239,13.63642960812772,0.02424818314592902,0.01743465168653053,0.019203969006076148,0.07333297855356288,-0.16346132614983772,-0.11608663529960728,0.5030150753768844,0.9526517429175184,0.048291046062840695,0.6158398838790133,0.9657282132908873,0.5849448352789158,0.9623157491727513,0.8633546531806239
17.7,0.15805,0.2137925,0.194845,0.0585275,0.0076249999999999,-1.8448438403205103,-1.5427493605200568,-1.6355509082913526,-2.838258549729801,-4.876322956488675,-0.5420512989469434,-0.6481934302425525,-0.6114147807509656,-0.3523287193463044,-0.20507255342252317,6.3271116735210375,4.677432557269315,5.132284636505941,17.085985220622785,131.14754098360828,0.7392682156764152,0.8111575867997639,2.7004399641194308,20.727868852459288,1.3526890224612464,1.0972439631501965,3.6528554952799963,28.03836065573807,1.2328060740272067,0.9113743466211396,3.329118790312246,25.553442622951152,0.37031002847200256,0.27375843399557986,0.3003797890631015,7.6757377049181335,0.04824422651059728,0.03566542324917806,0.03913367035335728,0.130280637307247,-0.1499088996013097,-0.10426614148684453,0.45952372707229505,0.9079523162818782,0.046367501758893905,0.5701564336075206,0.9311255885374922,0.5380122152167263,0.9246801995357345,0.7694720532103877
24.5,0.15805,0.2137925,0.194845,0.0585275,0.0076249999999999,-1.8448438403205103,-1.5427493605200568,-1.6355509082913526,-2.838258549729801,-4.876322956488675,-0.5420512989469434,-0.6481934302425525,-0.6114147807509656,-0.3523287193463044,-0.20507255342252317,6.3271116735210375,4.677432557269315,5.132284636505941,17.085985220622785,131.14754098360828,0.7392682156764152,0.8111575867997639,2.7004399641194308,20.727868852459288,1.3526890224612464,1.0972439631501965,3.6528554952799963,28.03836065573807,1.2328060740272067,0.9113743466211396,3.329118790312246,25.553442622951152,0.37031002847200256,0.27375843399557986,0.3003797890631015,7.6757377049181335,0.04824422651059728,0.03566542324917806,0.03913367035335728,0.130280637307247,-0.1499088996013097,-0.10426614148684453,0.45952372707229505,0.9079523162818782,0.046367501758893905,0.5701564336075206,0.9311255885374922,0.5380122152167263,0.9246801995357345,0.7694720532103877
17.7,0.1521925,0.2075775,0.19215,0.0570424999999999,0.0072124999999999,-1.8826091120354702,-1.5722505150669932,-1.6494789619712842,-2.8639586749445507,-4.931939647147933,-0.5311777116168335,-0.6360309571642215,-0.6062520487105243,-0.34916704935323867,-0.20275998320017663,6.570626016393711,4.81747780949284,5.204267499349467,17.530788447210444,138.64818024263624,0.7331839915212391,0.7920504813947438,2.668054520752076,21.101213171577417,1.3639141219179656,1.080288836846214,3.638997238900826,28.780242634315822,1.2625457890500515,0.9256783610940491,3.368541000131487,26.64124783362255,0.37480493454013764,0.27480097794799485,0.29686442883164144,7.908838821490563,0.04739064014323899,0.03474605870096663,0.03753577933905751,0.12644081167550358,-0.15394557634043968,-0.11603998925488425,0.45475183406217967,0.9095072300116068,0.03859504287295723,0.5688723452497927,0.9328413799525127,0.5421812454227161,0.9276443664179582,0.7755038518403261
